github.com/AlDanial/cloc v 2.08  T=0.58 s (1210.2 files/s, 159417.6 lines/s)
--------------------------------------------------------------------------------------------------------------
File                                                                       blank        comment           code
./cpp/lessons/lesson47.json                                                    0              0             21
./cpp/lessons/lesson48.json                                                    0              0             21
./cpp/lessons/lesson51.json                                                    0              0             21
./cpp/lessons/stdlib3.json                                                     0              0             21
./cpp/lessons/stdlib4.json                                                     0              0             21
./cpp/lessons/stdlib41.json                                                    0              0             21
./cpp/lessons/stdlib42.json                                                    0              0             21
./cpp/lessons/stdlib5.json                                                     0              0             21
./cpp/lessons/stdlib8.json                                                     0              0             21
./learnlinux/lessons/lesson4.json                                              0              0             21
./sql/lessons/lesson10.json                                                    0              0             21
./sql/lessons/lesson19.json                                                    0              0             21
./sql/lessons/lesson20.json                                                    0              0             21
./sql/lessons/lesson21.json                                                    0              0             21
./sql/lessons/lesson22.json                                                    0              0             21
./sql/lessons/lesson23.json                                                    0              0             21
./sql/lessons/lesson24.json                                                    0              0             21
./sql/lessons/lesson25.json                                                    0              0             21
./sql/lessons/lesson27.json                                                    0              0             21
./sql/lessons/lesson28.json                                                    0              0             21
./sql/lessons/lesson29.json                                                    0              0             21
./sql/lessons/lesson30.json                                                    0              0             21
./sql/lessons/lesson31.json                                                    0              0             21
./sql/lessons/lesson32.json                                                    0              0             21
./sql/lessons/lesson33.json                                                    0              0             21
./sql/lessons/lesson34.json                                                    0              0             21
./sql/lessons/lesson35.json                                                    0              0             21
./sql/lessons/lesson36.json                                                    0              0             21
./sql/lessons/lesson37.json                                                    0              0             21
./sql/lessons/lesson38.json                                                    0              0             21
./sql/lessons/lesson39.json                                                    0              0             21
./sql/lessons/lesson40.json                                                    0              0             21
./sql/lessons/lesson41.json                                                    0              0             21
./sql/lessons/lesson42.json                                                    0              0             21
./sql/lessons/lesson43.json                                                    0              0             21
./sql/lessons/lesson45.json                                                    0              0             21
./sql/lessons/lesson46.json                                                    0              0             21
./sql/lessons/lesson47.json                                                    0              0             21
./sql/lessons/lesson48.json                                                    0              0             21
./sql/lessons/lesson49.json                                                    0              0             21
./sql/lessons/lesson54.json                                                    0              0             21
./sql/lessons/lesson8.json                                                     0              0             21
./sql/lessons/lesson9.json                                                     0              0             21
./TS/chapters.js                                                               0              2             20
./c/chapters.js                                                                0              2             20
./cpp/chapters.js                                                              0              2             20
./cpp/lessons/lesson20.json                                                    0              0             20
./cpp/lessons/lesson21.json                                                    0              0             20
./cpp/lessons/lesson22.json                                                    0              0             20
./cpp/lessons/lesson23.json                                                    0              0             20
./cpp/lessons/lesson24.json                                                    1              0             20
./cpp/lessons/lesson25.json                                                    1              0             20
./cpp/lessons/lesson26.json                                                    1              0             20
./cpp/lessons/lesson27.json                                                    0              0             20
./cpp/lessons/lesson28.json                                                    1              0             20
./cpp/lessons/lesson29.json                                                    1              0             20
./cpp/lessons/lesson30.json                                                    1              0             20
./cpp/lessons/lesson31.json                                                    1              0             20
./cpp/lessons/lesson33.json                                                    1              0             20
./cpp/lessons/stdlib37.json                                                    0              0             20
./fortran/chapters.js                                                          0              2             20
./haskell/chapters.js                                                          0              2             20
./haskell/lessons/lesson3.json                                                 0              0             20
./learngit/chapters.js                                                         0              2             20
./learnlinux/chapters.js                                                       0              2             20
./learnlinux/lessons/lesson10.json                                             0              0             20
./learnlinux/lessons/lesson11.json                                             0              0             20
./learnlinux/lessons/lesson12.json                                             0              0             20
./learnlinux/lessons/lesson14.json                                             0              0             20
./learnlinux/lessons/lesson15.json                                             0              0             20
./learnlinux/lessons/lesson16.json                                             0              0             20
./learnlinux/lessons/lesson5.json                                              0              0             20
./learnlinux/lessons/lesson6.json                                              0              0             20
./learnlinux/lessons/lesson7.json                                              0              0             20
./learnlinux/lessons/lesson8.json                                              0              0             20
./learnlinux/lessons/lesson9.json                                              0              0             20
./rust/chapters.js                                                             0              2             20
./sql/chapters.js                                                              0              2             20
./web/chapters.js                                                              0              2             20
./zig/chapters.js                                                              0              2             20
./TS/lessons/lesson49.json                                                     0              0             19
./TS/lessons/lesson58.json                                                     0              0             19
./api/endpoint.js                                                              4              0             19
./asm/lessons/lesson14.json                                                    0              0             19
./asm/lessons/lesson15.json                                                    0              0             19
./asm/lessons/lesson3.json                                                     0              0             19
./asm/lessons/lesson5.json                                                     0              0             19
./cpp/binaryen/binaryen-box-entry-gen.hpp                                      6              0             19
